EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,ParentEmployeeNationalIDAlternateKey,SalesTerritoryKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status
67,1,97728960,,1,Raymond,Sam,K,false,Production Technician - WC20,2008-07-23 00:00:00,1966-09-30 00:00:00,adventure-works\raymond0,raymond0@adventure-works.com,226-555-0197,M,Raymond Sam,226-555-0197,false,M,1,$14,10,25,true,false,Production,2008-07-23 00:00:00,,Current
68,1,525932996,,1,Janaina,Bueno,Barreiro Gambaro,false,Application Specialist,2008-07-23 00:00:00,1984-08-30 00:00:00,adventure-works\janaina0,janaina0@adventure-works.com,623-555-0155,M,Janaina Bueno,623-555-0155,true,F,2,$27.4038,71,55,true,false,Information Services,2008-07-23 00:00:00,,Current
69,1,843479922,,1,Bob,Hohman,N,false,Production Technician - WC50,2008-07-24 00:00:00,1979-03-16 00:00:00,adventure-works\bob0,bob0@adventure-works.com,611-555-0116,S,Bob Hohman,611-555-0116,false,M,1,$11,12,26,true,false,Production,2008-07-24 00:00:00,,Current
70,1,370487086,,1,Shammi,Mohamed,G,false,Production Technician - WC40,2008-07-24 00:00:00,1980-05-04 00:00:00,adventure-works\shammi0,shammi0@adventure-works.com,793-555-0179,M,Shammi Mohamed,793-555-0179,false,M,1,$15,53,46,true,false,Production,2008-07-24 00:00:00,,Current
71,1,54759846,,1,Linda,Moschell,K,false,Production Technician - WC50,2008-07-25 00:00:00,1987-02-14 00:00:00,adventure-works\linda0,linda0@adventure-works.com,612-555-0171,M,Linda Moschell,612-555-0171,false,F,1,$11,96,68,true,false,Production,2008-07-25 00:00:00,,Current
72,1,619308550,,1,Mindy,Martin,C,false,Benefits Specialist,2008-07-25 00:00:00,1984-06-20 00:00:00,adventure-works\mindy0,mindy0@adventure-works.com,522-555-0147,M,Mindy Martin,522-555-0147,false,F,2,$16.5865,51,45,true,false,Human Resources,2008-07-25 00:00:00,,Current
73,1,121491555,,1,Wendy,Kahn,Beth,false,Finance Manager,2008-07-25 00:00:00,1984-05-11 00:00:00,adventure-works\wendy0,wendy0@adventure-works.com,248-555-0134,S,Wendy Kahn,248-555-0134,true,F,2,$43.2692,55,47,true,false,Finance,2008-07-25 00:00:00,,Current
74,1,420776180,,1,Kim,Ralls,T,false,Stocker,2008-07-26 00:00:00,1983-11-29 00:00:00,adventure-works\kim0,kim0@adventure-works.com,309-555-0129,S,Kim Ralls,309-555-0129,false,F,1,$9,98,69,true,false,Shipping and Receiving,2008-07-26 00:00:00,,Current
75,1,604664374,,1,Sandra,Reátegui Alayo,,false,Production Technician - WC30,2008-07-26 00:00:00,1975-06-05 00:00:00,adventure-works\sandra0,sandra0@adventure-works.com,896-555-0168,M,Sandra Reátegui Alayo,896-555-0168,false,F,1,$9.5,37,38,true,false,Production,2008-07-26 00:00:00,,Current
76,1,778552911,,1,Kok-Ho,Loh,T,false,Production Supervisor - WC50,2008-07-27 00:00:00,1979-11-27 00:00:00,adventure-works\kok-ho0,kok-ho0@adventure-works.com,999-555-0155,S,Kok-Ho Loh,999-555-0155,false,M,2,$25,78,59,true,false,Production,2008-07-27 00:00:00,,Current
77,1,435234965,,1,Douglas,Hite,B,false,Production Technician - WC45,2008-07-27 00:00:00,1985-06-24 00:00:00,adventure-works\douglas0,douglas0@adventure-works.com,808-555-0172,M,Douglas Hite,808-555-0172,false,M,1,$10,80,60,true,false,Production,2008-07-27 00:00:00,,Current
78,1,339712426,,1,James,Kramer,D,false,Production Technician - WC60,2008-07-27 00:00:00,1984-02-23 00:00:00,adventure-works\james0,james0@adventure-works.com,119-555-0117,M,James Kramer,119-555-0117,false,M,1,$12.45,39,39,true,false,Production,2008-07-27 00:00:00,,Current
79,1,403414852,,1,Sean,Alexander,P,false,Quality Assurance Technician,2008-07-28 00:00:00,1975-10-05 00:00:00,adventure-works\sean0,sean0@adventure-works.com,420-555-0173,S,Sean Alexander,420-555-0173,false,M,2,$10.5769,82,61,true,false,Quality Assurance,2008-07-28 00:00:00,,Current
80,1,368920189,,1,Nitin,Mirchandani,S,false,Production Technician - WC20,2008-07-28 00:00:00,1986-07-01 00:00:00,adventure-works\nitin0,nitin0@adventure-works.com,143-555-0173,S,Nitin Mirchandani,143-555-0173,false,M,1,$14,21,30,true,false,Production,2008-07-28 00:00:00,,Current
81,1,811994146,,1,Diane,Margheim,L,false,Research and Development Engineer,2008-07-29 00:00:00,1986-01-03 00:00:00,adventure-works\diane1,diane1@adventure-works.com,815-555-0138,S,Diane Margheim,815-555-0138,true,F,2,$40.8654,62,51,true,false,Research and Development,2008-07-29 00:00:00,,Current
82,1,330211482,,1,Rebecca,Laszlo,A,false,Production Technician - WC60,2008-07-29 00:00:00,1988-02-04 00:00:00,adventure-works\rebecca0,rebecca0@adventure-works.com,314-555-0113,M,Rebecca Laszlo,314-555-0113,false,F,1,$12.45,23,31,true,false,Production,2008-07-29 00:00:00,,Current
83,1,632092621,,1,Rajesh,Patel,M,false,Production Technician - WC40,2008-07-31 00:00:00,1977-05-04 00:00:00,adventure-works\rajesh0,rajesh0@adventure-works.com,373-555-0137,M,Rajesh Patel,373-555-0137,false,M,1,$15,48,44,true,false,Production,2008-07-31 00:00:00,,Current
84,1,264306399,,1,Vidur,Luthra,X,false,Recruiter,2008-08-01 00:00:00,1984-03-01 00:00:00,adventure-works\vidur0,vidur0@adventure-works.com,153-555-0186,S,Vidur Luthra,153-555-0186,false,M,2,$18.2692,50,45,true,false,Human Resources,2008-08-01 00:00:00,,Current
85,1,981597097,,1,John,Evans,P,false,Production Technician - WC50,2008-08-01 00:00:00,1977-12-29 00:00:00,adventure-works\john1,john1@adventure-works.com,172-555-0130,S,John Evans,172-555-0130,false,M,1,$11,91,65,true,false,Production,2008-08-01 00:00:00,,Current
86,1,693325305,,1,Nancy,Anderson,A,false,Production Technician - WC60,2008-08-02 00:00:00,1988-06-19 00:00:00,adventure-works\nancy0,nancy0@adventure-works.com,970-555-0118,M,Nancy Anderson,970-555-0118,false,F,1,$12.45,34,37,true,false,Production,2008-08-02 00:00:00,,Current
87,1,521265716,,1,Pilar,Ackerman,G,false,Shipping and Receiving Supervisor,2008-08-02 00:00:00,1972-04-09 00:00:00,adventure-works\pilar0,pilar0@adventure-works.com,577-555-0185,S,Pilar Ackerman,577-555-0185,true,M,2,$19.2308,93,66,true,false,Shipping and Receiving,2008-08-02 00:00:00,,Current
88,1,746373306,,1,David,Yalovsky,A,false,Production Technician - WC30,2008-08-02 00:00:00,1981-03-03 00:00:00,adventure-works\david3,david3@adventure-works.com,373-555-0142,S,David Yalovsky,373-555-0142,false,M,1,$9.5,32,36,true,false,Production,2008-08-02 00:00:00,,Current
89,1,750905084,,1,David,Hamilton,P,false,Production Supervisor - WC40,2008-08-03 00:00:00,1983-01-30 00:00:00,adventure-works\david4,david4@adventure-works.com,986-555-0177,S,David Hamilton,986-555-0177,false,M,2,$25,73,56,true,false,Production,2008-08-03 00:00:00,,Current
90,1,514829225,,1,Laura,Steele,C,false,Production Technician - WC45,2008-08-03 00:00:00,1980-07-25 00:00:00,adventure-works\laura0,laura0@adventure-works.com,777-555-0141,S,Laura Steele,777-555-0141,false,F,1,$10,75,57,true,false,Production,2008-08-03 00:00:00,,Current
91,1,750246141,,1,Margie,Shoop,W,false,Production Technician - WC60,2008-08-04 00:00:00,1985-12-18 00:00:00,adventure-works\margie0,margie0@adventure-works.com,818-555-0128,M,Margie Shoop,818-555-0128,false,F,1,$12.45,18,29,true,false,Production,2008-08-04 00:00:00,,Current
